0	1	2	3	4	5	6		7	8		
Num	ROI_S ROI_End   PC   Energy_keV	FWHM	Net_Area   Net_Area_Ucert	Continuum_Counts
1	-10	56	24.74	6.21	1.88	6.20E+04	299.54	6.66E+03
2	-10	56	33.75	8.46	1.89	6.67E+04	311.84	1.40E+04
3	-10	56	45.91	11.5	1.9	7.89E+04	318.57	2.31E+04
4	-182	195	187.16	46.79	0.73	9.91E+02	170.53	1.02E+04
5	-208	220	215.19	53.8	0.88	2.78E+02	157.91	9.36E+03
6	-243	259	254.01	63.5	0.88	1.87E+03	210.3	1.35E+04
7	-293	314	300.86	75.2	0.62	5.05E+02	74.54	7.44E+03
8	-293	314	309.29	77.31	0.62	4.80E+02	74.91	8.44E+03
9	-334	344	338.7	84.66	0.43	2.76E+02	164.44	1.12E+04
10	-363	404	371.39	92.83	1.16	4.24E+03	131.53	1.59E+04
11	-363	404	396.42	99.08	1.17	3.25E+02	96.67	1.61E+04
12	-568	583	576.38	144.05	0.87	5.34E+02	231.45	1.76E+04
13	-736	755	744.04	185.95	1.03	2.85E+03	255.08	1.77E+04
14	-834	847	838.45	209.54	0.87	2.16E+02	175.52	1.11E+04
15	-949	961	955.46	238.78	0.96	2.04E+03	160.77	9.03E+03
16	-1171	1190	1181.9	295.36	1.17	1.21E+03	183.84	9.31E+03
17	-1308	1320	1313.06	328.14	0.84	2.64E+02	119.35	5.30E+03
18	-1347	1360	1353.72	338.3	1.07	4.46E+02	125.23	5.53E+03
19	-1396	1415	1408.62	352.01	1.15	1.83E+03	164.88	7.24E+03
20	-1848	1865	1853.31	463.14	0.61	1.29E+02	118.65	4.28E+03
21	-2032	2057	2044.56	510.93	2.22	6.91E+03	176.54	5.71E+03
22	-2204	2216	2209.23	552.07	0.75	1.73E+01	78.64	2.34E+03
23	-2321	2346	2333.53	583.14	1.27	1.84E+03	140.56	4.22E+03
24	-2427	2446	2438.2	609.29	1.26	2.28E+03	115.66	3.17E+03
25	-2903	2919	2910.33	727.27	1.23	4.38E+02	82.01	2.00E+03
26	-3069	3082	3074.85	768.38	1.01	7.38E+01	68.84	1.69E+03
27	-3167	3220	3181.29	794.98	2.19	4.89E+02	50.55	2.51E+03
28	-3167	3220	3212.93	802.88	2.19	1.93E+02	42.65	2.15E+03
29	-3436	3456	3443.09	860.4	1.01	3.77E+02	83.92	1.83E+03
30	-3612	3659	3618.97	904.34	1.55	1.05E+02	32.51	1.38E+03
31	-3612	3659	3646.4	911.2	1.56	1.76E+03	55.6	1.49E+03
32	-3732	3750	3739.33	934.42	1.15	7.91E+01	72.37	1.52E+03
33	-3855	3889	3861.13	964.86	1.55	2.59E+02	35.52	1.38E+03
34	-3855	3889	3877.84	969.03	1.55	9.78E+02	47.29	1.55E+03
35	-3995	4018	4008.67	1001.72	1.34	2.45E+02	82.7	1.65E+03
36	-4469	4497	4483.87	1120.47	1.76	9.65E+02	96.12	1.79E+03
37	-4687	4709	4695.36	1173.32	1.1	2.85E+02	75.06	1.38E+03
38	-4946	4964	4956.32	1238.52	1.59	3.83E+02	65.09	1.14E+03
39	-5507	5553	5514.95	1378.12	1.46	2.25E+02	27.02	5.62E+02
40	-5507	5553	5546.78	1386.07	1.46	8.37E+01	20.98	4.90E+02
41	-5601	5643	5610.29	1401.94	1.85	1.32E+02	23.65	5.60E+02
42	-5601	5643	5634.71	1408.04	1.85	1.47E+02	25.62	6.31E+02
43	-5833	5862	5847.78	1461.29	1.78	1.17E+04	123.69	7.62E+02
44	-6035	6053	6042.1	1509.84	0.62	1.54E+02	38.27	3.82E+02
45	-6117	6128	6122.46	1529.93	0.37	5.41E+01	24.22	2.12E+02
46	-6243	6256	6249.36	1561.64	0.28	1.77E+01	28	2.78E+02
47	-6345	6389	6358.08	1588.8	2.27	2.49E+02	23.91	4.66E+02
48	-6345	6389	6375.67	1593.2	2.27	4.12E+02	28.19	4.95E+02
49	-6482	6502	6489.36	1621.61	1.38	1.30E+02	38.23	3.66E+02
50	-6515	6537	6528.09	1631.29	1.05	1.52E+02	40.73	3.88E+02
51	-6645	6658	6651.41	1662.1	0.42	7.95E+01	25.66	2.07E+02
52	-6910	6936	6924.78	1730.41	1.56	1.71E+02	44.07	4.05E+02
53	-7054	7080	7064.74	1765.38	1.78	1.11E+03	54.21	4.08E+02
54	-7174	7189	7182.74	1794.87	0.25	-7.10E+00	25.22	2.14E+02
55	-7384	7407	7399.94	1849.15	2.32	2.22E+02	37.81	3.01E+02
